"source","target"
248515,2309613
248515,2365075
248515,2802729
248515,3504570
248515,4282726
248515,7916396
248515,1451598
249335,1451598
249336,1451598
249342,1451598
251071,1451598
252106,1451598
250028,83791
250030,83791
251546,83791
250971,175863
248529,564450
248515,2365075
248529,4549342
252636,94363
252654,94363
255173,94363
255176,94363
252643,234670
252642,1451598
257427,83791
257428,83791
257429,83791
257430,83791
257438,83791
257433,168661
257437,168661
257438,168661
257433,218
257433,168661
257433,257437
257433,403109
257433,829426
257433,829426
257437,2630812
258292,131550
258293,131550
258295,131550
258296,131550
259465,94363
262239,94363
262239,234670
263480,234670
262417,248515
258293,1451598
258671,1451598
258672,1451598
258673,1451598
258674,1451598
258682,1451598
258686,1451598
259551,1451598
258292,366549
258293,366549
258296,366549
258294,494267
258295,1262777
258292,1862783
258295,1862783
258293,2337662
265316,94363
267153,1451598
273200,131550
273942,94363
274595,94363
273908,248515
271254,1451598
276435,83791
271254,2337662
278292,1451598
278424,1451598
291830,184154
289543,94363
286837,1451598
289845,4248300
289845,494267
295507,131550
292165,94363
298246,248515
296743,83791
298252,83791
300509,94363
319323,94363
313677,1451598
319323,1451598
324572,94363
323033,234670
323549,248515
327597,169418
337365,94363
330604,1451598
331054,175863
332799,211630
347647,94363
358957,1302430
359640,83791
359640,2120879
356985,2337662
366549,131550
366550,131550
366552,131550
367234,1451598
366549,25747
366549,30771
366549,131550
366549,258292
366549,258293
366549,366550
366549,385041
366549,407633
366549,407831
366549,407847
366549,585193
366549,2195398
366549,3102589
366549,3548904
366549,3548905
366549,3772862
366549,3777931
366549,3850131
366549,7010464
366549,7645896
366549,7964376
367109,6178222
371621,5664804
379464,131550
375534,94363
376041,94363
373381,248515
381296,1451598
375534,4248300
380686,83791
380686,168661
380686,829426
395703,94363
385041,366549
403903,131550
397275,94363
402783,94363
404017,1451598
403091,83791
403109,83791
403109,168661
403109,257433
403903,133818
402499,4719105
407633,131550
407636,131550
408396,168661
407633,366549
407831,366549
407839,494267
429514,1451598
426303,83791
431807,131550
435450,94363
438586,234670
431807,175863
448599,4966088
464198,1799150
476770,234670
476770,1451598
504493,131550
506595,131550
489545,94363
506516,94363
490915,1451598
494267,83715
494267,258294
494267,905238
494267,3378480
494268,494267
494269,494267
494270,494267
494268,83715
494268,204033
494268,258293
494268,494267
494268,616741
494268,905238
514850,83791
520635,148163
547352,94363
557811,94363
561037,94363
557811,4248300
561188,131550
561335,131550
578570,248515
575886,1451598
561188,83791
576423,83791
564450,80395
578570,1654867
578570,1717563
561335,1862783
561335,2337662
576470,2337662
576470,3034912
580549,131550
585193,94363
588540,83791
585193,366549
583987,55551
583987,2018639
583987,3322165
583987,4008856
583987,7158230
588540,2228965
603371,94363
616048,94363
619381,94363
610861,1451598
617138,1451598
611454,83791
635352,83791
638259,131550
638783,94363
643400,94363
648317,1451598
657869,94363
660144,94363
671763,94363
674747,234670
657869,4248300
677841,829426
664457,95914
664457,97351
664457,1431774
664457,1654395
664457,2892142
664457,4341321
664457,4589426
664457,7574967
664457,4589426
681981,1451598
705500,184154
705823,94363
708034,94363
705823,234670
695725,248515
705823,1451598
705823,4248300
705823,494267
696900,2337662
713562,131550
719586,94363
714569,1451598
718292,1451598
724404,83791
727523,83791
728084,83791
720211,564450
720588,1973065
731740,1451598
754257,131550
756188,94363
763743,234670
756188,1451598
763743,1451598
754257,83791
755680,83791
756188,83791
762008,83791
762260,83791
756057,133818
764362,107885
764362,191381
764362,343909
764362,403109
764362,958342
764362,1222973
764362,1382471
764362,1712306
764362,1717563
764362,2020516
764362,2789277
764362,3152897
764362,3154731
764362,3322165
764362,3447196
764362,7309828
764362,30450932
764362,1382471
764362,1717563
754257,3072101
761400,4966088
782599,131550
782686,1451598
780093,83791
782599,83791
794908,131550
799553,94363
806105,94363
805778,1451598
811652,1451598
809255,83791
794908,366549
814748,94363
821637,1451598
812584,83791
827248,168661
827248,32161
811852,133818
827248,169418
812269,2337662
842585,94363
837958,234670
827248,1451598
829237,1451598
829426,1451598
837958,1451598
842795,1451598
829426,83791
840702,83791
829426,168661
829426,257433
829426,216
829426,5203
829426,8823
829426,9944
829426,13511
829426,17759
829426,20790
829426,22947
829426,25447
829426,26466
829426,27389
829426,27721
829426,28129
829426,28908
829426,30091
829426,33325
829426,41285
829426,54905
829426,55925
829426,60036
829426,63299
829426,73549
829426,81116
829426,82395
829426,83791
829426,88337
829426,95914
829426,97906
829426,99595
829426,102663
829426,102779
829426,109081
829426,112187
829426,116834
829426,120399
829426,120928
829426,123507
829426,130496
829426,132177
829426,133178
829426,135543
829426,153182
829426,155463
829426,159132
829426,165660
829426,168661
829426,191381
829426,205439
829426,206044
829426,208704
829426,248506
829426,248514
829426,248525
829426,256089
829426,257433
829426,257435
829426,257436
829426,258293
829426,274140
829426,289233
829426,289441
829426,403105
829426,403109
829426,403974
829426,438930
829426,510191
829426,538326
829426,563884
829426,584589
829426,639338
829426,697990
829426,704573
829426,719529
829426,790485
829426,850522
829426,882623
829426,887649
829426,1003352
829426,1016956
829426,1088785
829426,1122815
829426,1140025
829426,1403394
829426,1414374
829426,1414377
829426,1419848
829426,1424267
829426,1451598
829426,1494563
829426,1818971
829426,1839036
829426,1888881
829426,2001036
829426,2037564
829426,2058302
829426,2079320
829426,2128921
829426,2179739
829426,2229468
829426,2512248
829426,2656134
829426,2762543
829426,2904823
829426,2952777
829426,3018474
829426,3048804
829426,3199899
829426,3322165
829426,3356691
829426,3484120
829426,3608199
829426,3635469
829426,3886944
829426,4108549
829426,4725479
829426,4847310
829426,6151185
829426,6245398
829426,6315769
829426,6655705
829426,6696848
829426,6916580
829426,7082898
829426,7579082
829426,7747065
829426,7894341
829426,7937876
829426,8530189
829426,8678582
829426,8692462
829426,8719745
829426,9163232
829426,9259388
829426,9265753
829426,10501202
829426,10513179
829426,11320013
829426,11734531
829426,11899222
829426,11972417
829426,12436518
829426,13397084
829426,30583386
829426,31166228
829426,31625885
829426,1016956
834355,32161
829426,1016956
828171,1382471
828171,3062719
847822,131550
853619,94363
850522,83791
857313,83791
850522,829426
857156,2337662
881658,94363
881658,564450
881658,3426431
901471,1451598
887170,83791
905238,175863
905238,494267
905238,494268
931622,94363
932550,94363
933675,234670
929524,1451598
933849,175863
933231,236241
933231,3811335
933914,5094785
934253,1451598
939294,83791
942730,94363
945965,94363
946528,94363
947302,94363
946688,211630
966268,131550
954928,94363
962125,83791
958342,764362
960092,1386919
971978,1451598
985726,1451598
976245,83791
980225,83791
1000473,184154
991101,94363
993254,83791
1003352,83791
1003352,829426
1003352,1016956
993254,583987
1003352,1016956
993254,1382471
987459,2337662
1017115,131550
1017115,94363
1012271,83791
1016956,83791
1017115,83791
1025477,83791
1016956,829426
1012271,1016956
1016956,81116
1016956,83791
1016956,403109
1016956,829426
1016956,1003352
1016956,1012271
1016956,2085672
1012271,1016956
1016956,81116
1016956,83791
1016956,403109
1016956,829426
1016956,1003352
1016956,1012271
1016956,2085672
