"source","target","weight"
1880,"glsl",1383
1880,"go",34
1880,"groovy",34
1880,"haskell",34
1880,"haxe",34
1880,"html",4005
1880,"io",34
1880,"java",4245
1880,"javascript",3619
1880,"jsoniq",34
1880,"julia",34
1880,"lean",34
1880,"liquid",34
1880,"livescript",34
1880,"lsl",34
1880,"lua",34
1880,"makefile",500
1880,"mask",34
1880,"matlab",34
1880,"nix",34
1880,"objective-c",584
1880,"ocaml",34
1880,"openscad",34
1880,"pascal",34
1880,"perl",705
1880,"php",586
1880,"powershell",34
1880,"processing",4650
1880,"protocol buffer",34
1880,"python",1040
1880,"r",34
1880,"racket",94
1880,"ruby",300
1880,"rust",34
1880,"scala",34
1880,"scheme",34
1880,"shell",1321
1880,"tcl",34
1880,"tex",650
1880,"typescript",36
1880,"vala",34
1880,"verilog",34
1880,"vhdl",34
1880,"visual basic",34
1880,"xquery",34
1903,"asp",2
1903,"awk",6
1903,"c",6
1903,"c++",6
1903,"clojure",7
1903,"css",35
1903,"cucumber",2
1903,"emacs lisp",88
1903,"groff",6
1903,"html",39
1903,"javascript",10
1903,"m4",2
1903,"makefile",58
1903,"objective-c",801
1903,"pascal",2
1903,"perl",2
1903,"puppet",2
1903,"ruby",13
1903,"scala",2
1903,"scheme",6
1903,"shell",831
1903,"swift",8
1903,"tex",4
1903,"typescript",4
1934,"actionscript",12
1934,"ada",12
1934,"antlr",12
1934,"apacheconf",38
1934,"applescript",36
1934,"asp",12
1934,"assembly",16
1934,"awk",840
1934,"batchfile",1937
1934,"blitzbasic",12
1934,"c",1846
1934,"c#",12
1934,"c++",85
1934,"clojure",12
1934,"cmake",2
1934,"cobol",12
1934,"coffeescript",3171
1934,"common lisp",12
1934,"css",2713
1934,"cucumber",2144
1934,"d",12
1934,"dtrace",39
1934,"e",15
1934,"eiffel",12
1934,"erlang",27
1934,"forth",12
1934,"fortran",12
1934,"gcc machine description",2
1934,"gdb",13
1934,"go",1890
1934,"groff",2700
1934,"html",3731
1934,"java",62
1934,"javascript",3615
1934,"lex",18
1934,"liquid",8
1934,"llvm",26
1934,"logos",38
1934,"lua",12
1934,"m4",7
1934,"makefile",1795
1934,"matlab",12
1934,"objective-c",62
1934,"ocaml",12
1934,"pascal",12
1934,"perl",97
1934,"perl6",12
1934,"php",39
1934,"plsql",18
1934,"postscript",12
1934,"prolog",12
1934,"protocol buffer",4
1934,"puppet",36
1934,"purebasic",12
1934,"python",90
1934,"r",12
1934,"rexx",5
1934,"ruby",7262
1934,"rust",12
1934,"scheme",12
1934,"scilab",18
1934,"shell",10683
1934,"sqlpl",12
1934,"standard ml",12
1934,"systemverilog",12
1934,"tcl",30
1934,"tex",12
1934,"verilog",12
1934,"vhdl",12
1934,"viml",1251
1934,"visual basic",12
1934,"xslt",33
1934,"yacc",46
1934,"zephir",12
1954,"apacheconf",6
1954,"applescript",9
1954,"asp",6
1954,"assembly",32
1954,"batchfile",144
1954,"c",458
1954,"c#",6
1954,"c++",270
1954,"clojure",6
1954,"cmake",12
1954,"coffeescript",8118
1954,"crystal",6
1954,"css",11179
1954,"cucumber",4
1954,"d",57
1954,"dart",6
1954,"digital command language",6
1954,"elixir",6
1954,"emacs lisp",21
1954,"erlang",6
1954,"freemarker",3
1954,"gcc machine description",88
1954,"go",244
1954,"groff",310
1954,"groovy",6
1954,"haskell",15
1954,"hcl",2
1954,"html",11726
1954,"java",18
1954,"javascript",21852
1954,"livescript",4
1954,"lua",6
1954,"m4",6
1954,"makefile",13160
1954,"moonscript",6
1954,"nginx",15
1954,"nimrod",6
1954,"objective-c",78
1954,"pawn",2
1954,"perl",55
1954,"perl6",2
1954,"php",18
1954,"plpgsql",6
1954,"postscript",6
1954,"powershell",28
1954,"protocol buffer",21
1954,"python",353
1954,"qmake",12
1954,"qml",6
1954,"racket",6
1954,"ruby",260
1954,"rust",6
1954,"scala",6
1954,"scheme",12
1954,"shell",11476
1954,"smarty",27
1954,"tcl",21
1954,"tex",3
1954,"urweb",3
1954,"viml",45
1954,"volt",6
1954,"xslt",31
1979,"antlr",7930
1979,"applescript",2
1979,"awk",7930
1979,"batchfile",2
1979,"c",7930
1979,"c++",7930
1979,"css",7987
1979,"emacs lisp",72
1979,"groff",12
1979,"html",7987
1979,"javascript",7987
1979,"lex",7930
1979,"makefile",7936
1979,"pascal",7930
1979,"php",7930
1979,"puppet",7930
1979,"python",7966
1979,"ruby",6
1979,"rust",8480
1979,"shell",8256
1979,"tex",3965
1979,"typescript",2
1979,"yacc",7930
1981,"antlr",192
1981,"assembly",6
1981,"awk",192
1981,"batchfile",30
1981,"c",451
1981,"c++",457
1981,"cmake",12
1981,"coffeescript",24
1981,"css",722
1981,"d",3
1981,"emacs lisp",250
1981,"groff",6
1981,"html",722
1981,"java",24
1981,"javascript",722
1981,"lex",192
1981,"llvm",6
1981,"logos",226
1981,"lua",6
1981,"makefile",954
1981,"mako",500
1981,"nix",6
1981,"objective-c",33
1981,"objective-c++",24
1981,"pascal",192
1981,"perl",24
1981,"php",216
1981,"prolog",6
1981,"protocol buffer",24
1981,"puppet",192
1981,"python",735
1981,"qmake",24
1981,"rust",200
1981,"shell",951
1981,"tex",96
1981,"viml",24
1981,"yacc",192
2080,"antlr",866
2080,"apacheconf",152
2080,"assembly",48
2080,"awk",870
2080,"batchfile",62
2080,"c",940
2080,"c++",964
2080,"cmake",18
2080,"coffeescript",3
2080,"component pascal",8
2080,"css",2063
2080,"d",2
2080,"digital command language",6
2080,"dtrace",2
2080,"emacs lisp",14
2080,"erlang",4
2080,"glsl",45
2080,"gnuplot",14
2080,"groff",70
2080,"haxe",90
2080,"html",2151
2080,"inno setup",24
2080,"java",52
2080,"javascript",2114
2080,"lex",866
2080,"lua",36
2080,"makefile",1062
2080,"mathematica",8
2080,"objective-c",34
2080,"objective-c++",42
2080,"pascal",866
2080,"perl",50
2080,"perl6",14
2080,"php",877
2080,"postscript",4
2080,"pov-ray sdl",2
2080,"powershell",14
2080,"puppet",868
2080,"python",1657
2080,"r",6
2080,"ruby",114
2080,"rust",1131
2080,"saltstack",34
2080,"scala",4
2080,"shell",1132
2080,"smarty",3
2080,"sourcepawn",14
2080,"supercollider",4
2080,"tex",447
2080,"visual basic",24
2080,"webidl",14
2080,"xslt",14
2080,"yacc",866
2099,"actionscript",146
2099,"ada",146
2099,"applescript",146
2099,"assembly",394
2099,"awk",146
2099,"bison",146
2099,"c",1940
2099,"c#",562
2099,"c++",2138
2099,"clips",146
2099,"cmake",180
2099,"css",154
2099,"d",382
2099,"emacs lisp",146
2099,"flux",146
2099,"glsl",146
2099,"go",452
2099,"groff",146
2099,"groovy",146
2099,"html",154
2099,"java",820
2099,"javascript",704
2099,"llvm",4
2099,"makefile",402
2099,"nsis",146
2099,"objective-c",1880
2099,"objective-c++",382
2099,"pascal",146
2099,"perl",146
2099,"perl6",146
2099,"powershell",34
2099,"python",3082
2099,"qmake",146
2099,"r",102
2099,"ragel in ruby host",12
2099,"ruby",154
2099,"sas",146
2099,"shell",356
2099,"tcl",146
2099,"tex",146
2099,"viml",44
2099,"xslt",146
2169,"assembly",2160
2169,"awk",2112
2169,"batchfile",2112
2169,"c",2277
2169,"c++",2295
2169,"clean",14
2169,"cmake",2102
2169,"css",2213
2169,"emacs lisp",2094
2169,"gdb",33
2169,"groff",2112
2169,"hack",2126
2169,"html",2112
2169,"javascript",2108
2169,"llvm",2094
2169,"m4",33
2169,"makefile",2207
2169,"objective-c",2094
2169,"ocaml",2094
2169,"pascal",2098
2169,"perl",2098
2169,"php",2207
2169,"python",2201
2169,"ruby",121
2169,"shell",2226
2169,"smarty",14
2169,"sourcepawn",2166
2169,"standard ml",2094
2169,"xslt",2094
2169,"yacc",2094
2289,"agda",135
2289,"applescript",2
2289,"awk",80
2289,"batchfile",32
2289,"c",108
2289,"c++",143
2289,"cmake",2
2289,"coffeescript",5
2289,"coq",4
2289,"css",98
2289,"dtrace",76
2289,"emacs lisp",45
